raw_transaction,upi_id,amount,transaction_type,recipient_type,category,bank,recipient_name,merchant_info
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Swiggy - Wikipedia', 'snippet': 'Swiggy is an Indian online food ordering and delivery company. Founded in 2014, Swiggy is headquartered in Bangalore and operates in more than 580 Indian ...'}, {'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,"paytm, hdfc, icici, sbi, axis, okicici, okhdfc, oksbi, okaxis",paytm,"[{'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}, {'title': 'Paytm for Business', 'snippet': 'Business type. Select Business type. This field is mandatory *. Private Limited Company; Public Limited Company; Proprietorship; Partnership/LLP; Trust/Society ...'}]"
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy business model is based on the hyperlocal on-demand food delivery business operation, intending to deliver food within 30 minutes. Swiggy ...'}, {'title': 'Swiggy - Company Profile - Tracxn', 'snippet': 'Swiggy serves in the B2C space in the Transportation and Logistics Tech, Food and Agriculture Tech market segments. The primary business model of Swiggy are ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,paytm,paytm,"[{'title': 'Paytm - Wikipedia', 'snippet': 'Paytm is an Indian multinational financial technology company, that specializes in digital payments and financial services, based in Noida, India. Paytm was ...'}, {'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}]"
"Shop Owner - [18:07:23 11-12-2022] INR 751 credited from retail.961@okicici
",Shop Owner - [18:07:23 11-12-2022] INR 751 credited from retail.961@okicici,0.0,unknown,unknown,misc,ICICI Bank,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Sole proprietorships can be a good choice for low-risk businesses and owners who want to test their business idea before forming a more formal business.'}]"
"Shop Owner - [00:23:25 12-12-2022] INR 11058 debited to market.262@paytm
",Shop Owner - [00:23:25 12-12-2022] INR 11058 debited to market.262@paytm,-0.0,unknown,unknown,misc,unknown,Shop Owner - [00:23:25 12-12-2022] INR 11058 debited to market.262@paytm,Shop,
"Shop Owner - [06:07:33 12-12-2022] INR 287 credited from retail.961@okicici
",Shop Owner - [06:07:33 12-12-2022] INR 287 credited from retail.961@okicici,0.0,unknown,unknown,misc,ICICI Bank,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Sole proprietorships can be a good choice for low-risk businesses and owners who want to test their business idea before forming a more formal business.'}]"
"Shop Owner - [11:43:39 13-12-2022] INR 697 debited to market.128@oksbi
",Shop Owner - [11:43:39 13-12-2022] INR 697 debited to market.128@oksbi,-0.0,unknown,unknown,misc,unknown,Shop Owner - [11:43:39 13-12-2022] INR 697 debited to market.128@oksbi,Shop,
"Shop Owner - [13:08:58 13-12-2022] INR 401 debited to market.909@okhdfc
",Shop Owner - [13:08:58 13-12-2022] INR 401 debited to market.909@okhdfc,-0.0,unknown,unknown,misc,unknown,Shop Owner - [13:08:58 13-12-2022] INR 401 debited to market.909@okhdfc,Shop,
"Shop Owner - [06:46:37 14-12-2022] INR 1344 debited to mart.927@okaxis
",Shop Owner - [06:46:37 14-12-2022] INR 1344 debited to mart.927@okaxis,-0.0,unknown,unknown,misc,okaxis,Shop Owner,Shop,"[{'title': '10 Types of Business Ownerships (With Pros and Cons) | Indeed.com', 'snippet': '10 common types of business ownership · 1. Sole proprietorship · 2. Partnership · 3. Limited liability company · 4. Private corporation · 5.'}, {'title': 'What Is a Sole Proprietorship? - Investopedia', 'snippet': 'A sole proprietorship is an unincorporated business with one owner. There is no legal separation between the company and the owner.'}]"
"Shop Owner - [12:19:22 18-12-2022] INR 7173 debited to mart.404@oksbi
",Shop Owner - [12:19:22 18-12-2022] INR 7173 debited to mart.404@oksbi,-0.0,unknown,unknown,misc,unknown,Shop Owner - [12:19:22 18-12-2022] INR 7173 debited to mart.404@oksbi,Shop,
"Shop Owner - [11:57:18 25-12-2022] INR 1483 debited to mart.927@okaxis
",Shop Owner - [11:57:18 25-12-2022] INR 1483 debited to mart.927@okaxis,-0.0,unknown,unknown,misc,unknown,Shop Owner - [11:57:18 25-12-2022] INR 1483 debited to mart.927@okaxis,Shop,
"Shop Owner - [21:31:22 27-12-2022] INR 272 debited to store.522@okaxis
",Shop Owner - [21:31:22 27-12-2022] INR 272 debited to store.522@okaxis,-0.0,unknown,unknown,misc,unknown,Shop Owner - [21:31:22 27-12-2022] INR 272 debited to store.522@okaxis,Shop,
"Shop Owner - [12:31:13 29-12-2022] INR 14947 credited from seller.177@okaxis
",Shop Owner - [12:31:13 29-12-2022] INR 14947 credited from seller.177@okaxis,0.0,unknown,unknown,misc,unknown,Shop Owner - [12:31:13 29-12-2022] INR 14947 credited from seller.177@okaxis,Shop,
"Shop Owner - [01:32:49 01-01-2023] INR 1225 debited to vendor.249@okicici
",Shop Owner - [01:32:49 01-01-2023] INR 1225 debited to vendor.249@okicici,-0.0,unknown,unknown,misc,unknown,Shop Owner - [01:32:49 01-01-2023] INR 1225 debited to vendor.249@okicici,Shop,
"Shop Owner - [10:59:49 01-01-2023] INR 960 debited to shop.869@okaxis
",Shop Owner - [10:59:49 01-01-2023] INR 960 debited to shop.869@okaxis,-0.0,unknown,unknown,misc,unknown,Shop Owner - [10:59:49 01-01-2023] INR 960 debited to shop.869@okaxis,Shop,
"Shop Owner - [13:47:38 01-01-2023] INR 909 debited to mart.156@okhdfc
",Shop Owner - [13:47:38 01-01-2023] INR 909 debited to mart.156@okhdfc,-0.0,unknown,unknown,misc,unknown,Shop Owner - [13:47:38 01-01-2023] INR 909 debited to mart.156@okhdfc,Shop,
"Shop Owner - [03:24:17 02-01-2023] INR 860 debited to store.522@okaxis
",Shop Owner - [03:24:17 02-01-2023] INR 860 debited to store.522@okaxis,-0.0,unknown,unknown,misc,unknown,Shop Owner - [03:24:17 02-01-2023] INR 860 debited to store.522@okaxis,Shop,
"Shop Owner - [18:16:59 02-01-2023] INR 978 debited to seller.113@okhdfc
",Shop Owner - [18:16:59 02-01-2023] INR 978 debited to seller.113@okhdfc,-0.0,unknown,unknown,misc,unknown,Shop Owner - [18:16:59 02-01-2023] INR 978 debited to seller.113@okhdfc,Shop,
"Shop Owner - [19:35:17 04-01-2023] INR 539 credited from mart.296@okaxis
",Shop Owner - [19:35:17 04-01-2023] INR 539 credited from mart.296@okaxis,0.0,unknown,unknown,misc,unknown,Shop Owner - [19:35:17 04-01-2023] INR 539 credited from mart.296@okaxis,Shop,
